"","Article_id_to_keep","Grouping","Article_id_to_delete","Absolute_Sales_Transferred","Transferability_Percentage","Sales_to_delete","Ranking_to_delete","New_Total_Sales_receiving_sales","Total_Sales_Transferability","Sales_Lost.Relative","Sales_Lost.Absolute","article_to_delete-PRODUCT.DIVISION","article_to_delete-CHANNEL..ECOM.","article_to_delete-INTRO.DATE","article_to_delete-BRAND.ASSET","article_to_delete-PRODUCT.GROUP","article_to_delete-CLASS","article_to_delete-PRODUCT.TYPE","article_to_delete-AGE","article_to_delete-GENDER","article_to_delete-BUSINESS.UNIT","article_to_delete-MARKETING.DIVISION","article_to_delete-MODEL.NAME","article_to_delete-SALES.VOLUME","article_to_delete-RRP...local.currency.","article_to_delete-RRP..LOCAL.CURRENCY..currency.","article_to_delete-GOOD.BETTER.BEST.INDICATION","article_to_delete-INVOICE.MARGIN","article_to_delete-CARRY.OVER.ARTICLE","article_to_delete-SALES.UNITS","article_to_delete-MANDATORY.RANGE","article_to_delete-RANGE.TYPE.SPECIAL.USAGE","article_to_delete-CREATION.CENTER","article_to_delete-FRANCHISE","article_to_keep-PRODUCT.DIVISION","article_to_keep-CHANNEL..ECOM.","article_to_keep-INTRO.DATE","article_to_keep-BRAND.ASSET","article_to_keep-PRODUCT.GROUP","article_to_keep-CLASS","article_to_keep-PRODUCT.TYPE","article_to_keep-AGE","article_to_keep-GENDER","article_to_keep-BUSINESS.UNIT","article_to_keep-MARKETING.DIVISION","article_to_keep-MODEL.NAME","article_to_keep-SALES.VOLUME","article_to_keep-RRP...local.currency.","article_to_keep-RRP..LOCAL.CURRENCY..currency.","article_to_keep-GOOD.BETTER.BEST.INDICATION","article_to_keep-INVOICE.MARGIN","article_to_keep-CARRY.OVER.ARTICLE","article_to_keep-SALES.UNITS","article_to_keep-MANDATORY.RANGE","article_to_keep-RANGE.TYPE.SPECIAL.USAGE","article_to_keep-CREATION.CENTER","article_to_keep-FRANCHISE"
"1","B45743","ECOM_Tank_ADULT_WOM","CF8811",7.85374286295422,9.94144666196737,79,3,236.853742862954,99.4431865916528,0.556813408347196,0.439882592594285,"APPAREL","ECOM","1/1/2018","NON ROYALTY","TOPS","adi perf APP WOM Athltcs","Tank","ADULT","WOM","TRAINING","SP","BUI25","105","25","0","Good","0.7312","","79","NO ASSIGNMENT","INLINE","CCH","not applicable","APPAREL","ECOM","1/1/2018","NON ROYALTY","TOPS","adi perf APP WOM Athltcs","Tank","ADULT","WOM","TRAINING","SP","BUI25","305","25","0","Good","0.7312","CO","229","NO ASSIGNMENT","INLINE","CCH","not applicable"
"2","B45743","T&L_Tank Tops_Female_Adult","CD7787",23.1516556938969,7.53683172558771,307.180212280666,3,1101.35273268724,98.8163922816524,1.18360771834759,3.63580870179047,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","B45743","T&L_Tank Tops_Female_Adult","CF8811",10.2882610920412,9.89255874234734,104,3,1101.35273268724,93.9052952105439,6.09470478945613,6.33849298103438,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","B47357","T&L_T Shirts_Male_Adult_SPORT PERFORMANCE","S98724",19.635981120023,6.77102797242172,290,3,1040.25449656636,92.628770556324,7.37122944367596,21.3765653866603,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","B47357","T&L_T Shirts_Male_Adult_SPORT PERFORMANCE","BP7459",5.23940980348087,5.15596830154557,101.618347845744,4,1040.25449656636,94.0340219983681,5.96597800163188,6.06252827809885,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","B47357","T&L_T Shirts_Male_Adult_SPORT PERFORMANCE","CX0093",5.23807224749011,5.62686392528637,93.0904375339685,4,1040.25449656636,91.9412230051331,8.0587769948669,7.5019507644084,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","BJ9127","CS_Shorts_ADULT_MEN","BJ9129",59.508946179263,16.8517663044354,353.131802946971,2,770.88970217308,98.0354466272651,1.96455337273487,6.93746274499417,"APPAREL","CS","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","500","30","0","Good","0.836","CO","350","NO ASSIGNMENT","INLINE","CCH","","APPAREL","CS","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","1000","30","0","Good","0.836","CO","700","NO ASSIGNMENT","INLINE","CCH",""
"8","BJ9128","CS_Shorts_ADULT_MEN","BJ9129",107.032330102186,30.3094564717692,353.131802946971,1,1166.4277389431,98.0354466272651,1.96455337273487,6.93746274499417,"APPAREL","CS","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","500","30","0","Good","0.836","CO","350","NO ASSIGNMENT","INLINE","CCH","","APPAREL","CS","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","1500","30","0","Good","0.836","CO","1050","NO ASSIGNMENT","INLINE","CCH",""
"9","BJ9129","ECOM_Shorts_ADULT_MEN","CW1879",16.698615569981,7.42160691999155,225,3,511.751240509632,95.2572763710685,4.74272362893146,10.6711281650958,"APPAREL","ECOM","1/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN Training","Shorts","ADULT","MEN","TRAINING","SP","DTM80","300","35","0","Good","0.791142857","","225","NO ASSIGNMENT","INLINE","CCP","not applicable","APPAREL","ECOM","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","630","30","0","Good","0.836","CO","473","NO ASSIGNMENT","INLINE","CCH",""
"10","BJ9129","ECOM_Shorts_ADULT_MEN","CV3195",22.0526249396511,9.41294325858602,234.279803179901,3,511.751240509632,98.6292522084939,1.37074779150615,3.21138522803344,"APPAREL","ECOM","4/1/2018","NON ROYALTY","SHORTS","adi perf APP MEN Athltcs","Shorts","ADULT","MEN","TRAINING","SP","ENH82","300","40","0","Good","0.797","","225","NO ASSIGNMENT","INLINE","CCP","","APPAREL","ECOM","4/1/2018","NON ROYALTY","SHORTS","adi Perf APP MEN FB Gene","Shorts","ADULT","MEN","SOCCER","SP","TASTIGO SHORTS","630","30","0","Good","0.836","CO","473","NO ASSIGNMENT","INLINE","CCH",""
